Country,Date,Confirmed Cases,New Cases,Confirmed Deaths,New Deaths,Income,Region,Population,year,cpm,dpm,new_cases_per_million,new_deaths_per_million,cases_income,deaths_income,new_cases_income,new_deaths_income,cpm_income,dpm_income,new_cpm_income,new_dpm_income,cases_region,deaths_region,new_cases_region,new_deaths_region,cpm_region,dpm_region,new_cpm_region,new_dpm_region
Equatorial Guinea,2025-12-07,17130,,183,,Upper middle income,African Region,1634466,,10480.4872049954,111.963173293296,,,222663271,2530824,573,2,88363.2223752895,1004.34958536435,0.227393257063222,0.000793693741930967,9050765,174424,8,0,7784.54631928893,150.02176138654,0.0068807852766381,0
Falkland Islands,2025-12-07,1923,,0,,,,3764,,510892.667375133,0,,,18765230,113264,1,0,,,,,1310969,4286,0,0,,,,
Jersey,2025-12-07,66391,,161,,,,109618,,605657.829918444,1468.7368862778,,,18765230,113264,1,0,,,,,1310969,4286,0,0,,,,
Guyana,2025-12-07,75520,1,1312,0,High income,Region of the Americas,804567,,93864.1530164672,1630.69079393015,1.24290456854432,0,457798628,3495070,10351,183,367542.782768472,2806.01049282875,8.31028122792115,0.146921211932139,193214261,3063902,466,140,188271.461316872,2985.52137862995,0.454078806189479,0.13641852546465
Guatemala,2025-12-07,1255036,32,20205,0,Upper middle income,Region of the Americas,17608483,,71274.5101324174,1147.45830177421,1.81730589739048,0,222663271,2530824,573,2,88363.2223752895,1004.34958536435,0.227393257063222,0.000793693741930967,193214261,3063902,466,140,188271.461316872,2985.52137862995,0.454078806189479,0.13641852546465
Gabon,2025-12-07,49069,,307,,Upper middle income,African Region,2341179,,20959.0979587635,131.130511592663,,,222663271,2530824,573,2,88363.2223752895,1004.34958536435,0.227393257063222,0.000793693741930967,9050765,174424,8,0,7784.54631928893,150.02176138654,0.0068807852766381,0
Japan,2025-12-07,33803572,,74694,,High income,Western Pacific Region,124612530,,271269.446178486,599.410027225994,,,457798628,3495070,10351,183,367542.782768472,2806.01049282875,8.31028122792115,0.146921211932139,208610782,421686,0,0,108408.157958678,219.136336380557,0,0
Hungary,2025-12-07,2239989,85,49124,,High income,European Region,9709786,,230693.961741278,5059.22581609935,8.7540549297379,,457798628,3495070,10351,183,367542.782768472,2806.01049282875,8.31028122792115,0.146921211932139,281438122,2281383,10452,45,302358.656054076,2450.96823743237,11.2289431531852,0.0483450480188801
Haiti,2025-12-07,34901,0,860,0,Lower middle income,Region of the Americas,11447569,,3048.76956845598,75.1251204513378,0,0,78324000,931883,1,0,23058.4678647175,274.344954409587,0.000294398496817291,0,193214261,3063902,466,140,188271.461316872,2985.52137862995,0.454078806189479,0.13641852546465
Guadeloupe,2025-12-07,203235,,1021,,,,396051,,513153.609004901,2577.95081946517,,,18765230,113264,1,0,,,,,1310969,4286,0,0,,,,
Indonesia,2025-12-07,6830274,,162059,,Upper middle income,South-East Asia Region,273753191,,24950.4817644299,591.989446435348,,,222663271,2530824,573,2,88363.2223752895,1004.34958536435,0.227393257063222,0.000793693741930967,61952087,809340,0,0,30125.4119009832,393.557377137944,0,0
Cambodia,2025-12-07,139326,,3056,,Lower middle income,Western Pacific Region,16589023,,8398.68628791461,184.21820260301,,,78324000,931883,1,0,23058.4678647175,274.344954409587,0.000294398496817291,0,208610782,421686,0,0,108408.157958678,219.136336380557,0,0
Jamaica,2025-12-07,157663,0,3634,0,Upper middle income,Region of the Americas,2827695,,55756.7205798362,1285.14567518774,0,0,222663271,2530824,573,2,88363.2223752895,1004.34958536435,0.227393257063222,0.000793693741930967,193214261,3063902,466,140,188271.461316872,2985.52137862995,0.454078806189479,0.13641852546465
Guinea-Bissau,2025-12-07,9614,,177,,Low income,African Region,2060721,,4665.35741616648,85.8922678033562,,,1443768,35955,0,0,2010.10484475911,50.058818101879,0,0,9050765,174424,8,0,7784.54631928893,150.02176138654,0.0068807852766381,0
Iceland,2025-12-07,211141,9,186,,High income,European Region,370335,,570135.147906625,502.247964680627,24.3023208716432,,457798628,3495070,10351,183,367542.782768472,2806.01049282875,8.31028122792115,0.146921211932139,281438122,2281383,10452,45,302358.656054076,2450.96823743237,11.2289431531852,0.0483450480188801
